Soil ID Number ,Freundlich KF,Clay (%),pH,Organic C (g/kg)
1,118.8,58,6.6,2.8
2,236,58,5.65,4
3,122,5,6.03,7.1
4,132,10,5.72,7.4
5,213,5,4.03,8.1
6,107,2,6.5,8.3
7,108,11,5.47,8.6
8,166,10,5.83,9.2
9,237,14,5.57,10.7
10,158,7,5.37,12.2
11,82.3,2,5.36,12.6
12,83.6,17,6.3,12.8
13,74,11,5.9,12.8
14,257,11,5.34,13
15,216,11,5.48,14.8
16,237,5,4.35,15.1
17,89.9,5,6.6,15.8
18,391,19,6.97,16.3
19,241,21,7.19,19.4
20,353,18,6.39,23.9
21,364,39,6.7,27
22,447,39,5.63,30
23,425,16,5.25,31.1
